epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,0.5078,0.7469,0.3942,0.8259,0.3924,0.8252
2,0.3463,0.8498,0.3004,0.8716,0.3006,0.87
3,0.2605,0.8924,0.2187,0.9121,0.2185,0.9125
4,0.2029,0.9191,0.1739,0.9376,0.174,0.9372
5,0.1583,0.9377,0.1361,0.9491,0.1386,0.9478
6,0.1226,0.9539,0.1151,0.9582,0.1156,0.9577
7,0.0943,0.9647,0.0983,0.9646,0.0998,0.9633
8,0.0721,0.9731,0.1002,0.9631,0.1003,0.9635
9,0.0558,0.9793,0.0732,0.9741,0.0771,0.9721
10,0.0458,0.9837,0.0724,0.9742,0.0759,0.9733
11,0.0353,0.9874,0.0766,0.974,0.0782,0.9729
12,0.0299,0.9893,0.0717,0.9743,0.0746,0.9734
13,0.0254,0.9909,0.066,0.978,0.0703,0.9766
14,0.0224,0.9923,0.0601,0.9798,0.0626,0.9782
15,0.0192,0.9935,0.074,0.976,0.075,0.9753
16,0.0179,0.9937,0.073,0.9772,0.0778,0.9766
